time,current,voltage,power,pressure_anode_inlet,pressure_anode_outlet,pressure_cathode_inlet,pressure_cathode_outlet,temp_anode_endplate,temp_anode_dewpoint_water,temp_anode_inlet,temp_anode_outlet,temp_cathode_dewpoint_water,temp_cathode_inlet,temp_cathode_outlet,total_anode_stack_flow,total_cathode_stack_flow
35,1.7604,0.8512,1.5,109.901303,110.529453,109.395428,108.387024,83.741119,53.494591,67.605545,37.240772,63.176033,68.689217,58.64801,0.084,0.349
36,1.7604,0.8496,1.5,110.103653,110.731657,109.800128,109.298477,83.617668,53.520432,67.618172,37.293678,63.176033,68.67659,58.685886,0.084,0.349
37,1.7604,0.85,1.5,109.901303,110.832759,110.103653,109.298477,83.66954,53.5005,67.54026,37.25779,63.188953,68.656036,58.594273,0.084,0.349
38,1.7604,0.85,1.5,110.103653,110.428352,110.002478,109.298477,83.6325,53.461742,67.603394,37.271019,63.150192,68.555031,58.54377,0.084,0.349
39,1.7628,0.85,1.5,109.901303,110.529453,110.103653,109.298477,83.691742,53.507511,67.592918,37.320133,63.20187,68.600838,58.496498,0.084,0.349
40,1.7628,0.8496,1.5,109.901303,110.731657,110.103653,109.298477,83.667053,53.507511,67.567665,37.280453,63.227711,68.562958,58.547001,0.084,0.349
41,1.7604,0.8506,1.5,110.103653,110.428352,109.800128,108.792114,83.644844,53.590939,67.552887,37.244564,63.266468,68.618156,58.442764,0.084,0.349
42,1.7628,0.8503,1.5,109.901303,110.529453,109.597778,108.083206,83.583122,53.487579,67.527634,37.204884,63.176033,68.630783,58.417511,0.084,0.349
43,1.7604,0.8493,1.5,109.901303,110.428352,109.294253,108.184478,83.595467,53.5005,67.565514,37.231335,63.20187,68.719162,58.442764,0.084,0.349
44,1.7628,0.848,1.49,109.901303,110.529453,109.698953,108.994659,83.521393,53.474663,67.451881,37.218109,63.188953,68.706535,58.442764,0.084,0.349
45,1.758,0.8483,1.49,110.103653,110.428352,109.800128,109.298477,83.570778,53.51342,67.527634,37.218109,63.20187,68.64341,58.455387,0.084,0.349
46,1.7604,0.849,1.49,109.901303,110.428352,110.002478,109.39975,83.667053,53.507511,67.529793,37.240772,63.150192,68.63871,58.445995,0.084,0.349
47,1.7604,0.8487,1.49,110.103653,110.428352,110.002478,109.298477,83.568291,53.48167,67.567665,37.267227,63.21479,68.613457,58.408115,0.084,0.349
48,1.7604,0.849,1.49,110.103653,110.428352,110.002478,109.298477,83.642357,53.494591,67.580292,37.227543,63.188953,68.588211,58.395493,0.084,0.349
49,1.7604,0.8493,1.5,109.901303,110.529453,109.800128,108.083206,83.657188,53.590939,67.565514,37.191654,63.253551,68.668663,58.354382,0.084,0.349
50,1.758,0.8487,1.49,109.901303,110.428352,109.395428,108.387024,83.6325,53.5005,67.54026,37.244564,63.150192,68.706535,58.341755,0.084,0.349
51,1.7604,0.8474,1.49,109.901303,110.428352,109.395428,108.994659,83.694229,53.52634,67.57814,37.191654,63.150192,68.769669,58.379635,0.084,0.349
52,1.7604,0.8477,1.49,109.901303,110.428352,110.002478,109.39975,83.755951,53.474663,67.54026,37.191654,63.20187,68.656036,58.341755,0.084,0.349
53,1.7604,0.849,1.49,109.901303,110.529453,109.800128,108.387024,83.580635,53.520432,67.529793,37.240772,63.150192,68.626083,58.67326,0.084,0.349
54,1.7604,0.8487,1.49,110.103653,110.529453,109.294253,108.792114,83.654709,53.507511,67.580292,37.253998,63.176033,68.67659,59.001568,0.084,0.349
55,1.7628,0.848,1.49,109.901303,110.428352,109.698953,108.589569,83.607811,53.5005,67.50238,37.231335,63.163113,68.68129,58.707905,0.084,0.349
56,1.7604,0.8464,1.49,109.901303,110.428352,109.800128,109.298477,83.583122,53.487579,67.527634,37.165199,63.163113,68.668663,58.556396,0.084,0.349
57,1.7628,0.8428,1.49,109.901303,110.428352,110.204828,109.80484,83.667053,53.520432,67.555038,37.214317,63.176033,68.663963,58.521751,0.084,0.349
58,1.7604,0.8487,1.49,110.103653,110.428352,110.002478,109.298477,83.691742,53.507511,67.529793,37.201092,63.20187,68.613457,58.395493,0.084,0.349
59,1.7604,0.848,1.49,110.103653,110.529453,110.407178,108.994659,83.595467,53.474663,67.50238,37.191654,63.240631,68.630783,58.329128,0.084,0.349
60,1.7604,0.8487,1.49,110.103653,110.731657,109.800128,108.387024,83.630013,53.494591,67.491913,37.214317,63.150192,68.67659,58.382866,0.083,0.349
61,1.7604,0.8483,1.49,110.103653,110.529453,109.294253,108.083206,83.521393,53.487579,67.54026,37.178429,63.188953,68.706535,58.379635,0.084,0.349
62,9.4848,0.7469,7.08,110.204828,110.832759,109.597778,108.184478,83.583122,53.5005,67.527634,37.138748,63.176033,68.757042,58.341755,0.117,0.493
63,9.4848,0.7514,7.13,110.103653,110.731657,109.800128,108.589569,83.657188,53.539257,67.603394,37.165199,63.20187,68.719162,58.329128,0.132,0.552
64,9.4848,0.754,7.15,109.901303,110.428352,110.002478,108.893387,83.679398,53.546268,67.706551,37.187862,63.188953,68.764969,58.28186,0.133,0.553
65,9.4872,0.756,7.17,110.103653,110.529453,110.103653,108.792114,83.667053,53.572109,67.706551,37.174637,63.227711,68.790222,58.269234,0.133,0.553
66,9.4848,0.7572,7.18,109.901303,110.529453,110.103653,108.792114,83.741119,53.520432,67.744431,37.174637,63.188953,68.790222,58.218731,0.133,0.553
67,9.4872,0.7582,7.19,109.901303,110.428352,110.103653,108.792114,83.66954,53.52634,67.780151,37.178429,63.176033,68.782295,58.202869,0.132,0.553
68,9.4872,0.7592,7.2,109.901303,110.428352,110.002478,108.893387,83.644844,53.474663,67.767525,37.099064,63.21479,68.769669,58.17762,0.133,0.553
69,9.4896,0.7592,7.2,109.901303,110.32725,110.103653,108.792114,83.620155,53.5005,67.742271,37.112293,63.20187,68.794922,58.114491,0.133,0.553
70,9.4872,0.7595,7.21,110.103653,110.428352,110.103653,108.893387,83.691742,53.533352,67.807556,37.174637,63.163113,68.828102,58.206104,0.133,0.553
71,9.4848,0.7598,7.21,109.901303,110.529453,110.002478,108.792114,83.694229,53.51342,67.792778,37.085838,63.20187,68.820168,58.089237,0.132,0.553
72,9.4848,0.7602,7.21,109.901303,110.529453,110.103653,108.387024,83.728775,53.546268,67.807556,37.121727,63.21479,68.828102,58.130348,0.133,0.553
73,9.4848,0.7602,7.21,110.103653,110.428352,110.103653,108.589569,83.704086,53.546268,67.845436,37.108501,63.21479,68.853355,58.079845,0.133,0.553
74,9.4848,0.7602,7.21,109.597778,110.428352,110.002478,108.589569,83.644844,53.52634,67.830658,37.085838,63.163113,68.807549,58.114491,0.133,0.553
75,9.4872,0.7608,7.22,109.901303,110.428352,110.103653,108.387024,83.691742,53.559189,67.845436,37.148182,63.188953,68.828102,58.130348,0.133,0.553
76,9.4848,0.7605,7.21,109.800128,110.428352,110.103653,108.184478,83.731262,53.487579,67.830658,37.125519,63.240631,68.782295,58.038734,0.133,0.553
77,9.4848,0.7611,7.22,109.901303,110.529453,110.002478,108.589569,83.728775,53.546268,67.820183,37.108501,63.240631,68.815475,58.092472,0.133,0.553
78,9.4848,0.7611,7.22,109.901303,110.529453,110.103653,108.589569,83.802849,53.533352,67.832809,37.108501,63.163113,68.764969,58.079845,0.133,0.553
79,9.4848,0.7611,7.22,109.901303,110.529453,109.800128,108.589569,83.802849,53.533352,67.832809,37.161407,63.21479,68.777596,58.079845,0.133,0.554
80,9.4848,0.7611,7.22,109.901303,110.529453,110.002478,108.589569,83.852234,53.48167,67.832809,37.148182,63.240631,68.790222,58.067219,0.133,0.553
81,9.4848,0.7614,7.22,109.901303,110.529453,109.800128,108.589569,83.741119,53.507511,67.832809,37.108501,63.20187,68.802849,58.054592,0.133,0.553
82,9.4848,0.7614,7.22,109.901303,110.529453,110.002478,108.387024,83.691742,53.533352,67.820183,37.148182,63.21479,68.790222,58.029343,0.133,0.553
83,9.4848,0.7614,7.22,109.901303,110.428352,110.103653,108.387024,83.716431,53.507511,67.820183,37.095272,63.21479,68.802849,58.041965,0.132,0.553
84,9.4872,0.7618,7.23,109.901303,110.428352,109.800128,108.589569,83.704086,53.533352,67.807556,37.121727,63.21479,68.828102,58.004089,0.132,0.553
85,9.4848,0.7614,7.22,109.901303,110.428352,109.800128,108.589569,83.716431,53.572109,67.832809,37.121727,63.240631,68.840729,58.016716,0.133,0.553
86,9.4872,0.7618,7.23,109.901303,110.428352,109.800128,108.589569,83.77816,53.494591,67.78231,37.108501,63.20187,68.878601,57.991264,0.133,0.553
87,9.4872,0.7618,7.23,109.901303,110.428352,110.103653,108.589569,83.66954,53.51342,67.767525,37.072609,63.253551,68.807549,57.96212,0.133,0.553
88,9.4872,0.7598,7.21,109.901303,110.428352,110.002478,108.893387,83.728775,53.572109,67.820183,37.174637,63.188953,68.815475,58.004089,0.133,0.553
89,9.4872,0.7608,7.22,109.901303,110.529453,110.103653,108.792114,83.802849,53.559189,67.79493,37.134953,63.266468,68.878601,57.978344,0.133,0.553
90,9.4872,0.7621,7.23,109.901303,110.529453,110.103653,108.893387,83.815193,53.572109,67.807556,37.161407,63.227711,68.828102,58.004089,0.133,0.553
91,9.4848,0.7624,7.23,110.103653,110.428352,110.002478,108.792114,83.753471,53.520432,67.807556,37.134953,63.227711,68.802849,58.004089,0.133,0.553
92,9.4872,0.7624,7.23,110.103653,110.428352,110.002478,108.792114,83.716431,53.520432,67.832809,37.095272,63.227711,68.815475,57.991264,0.133,0.553
93,9.4848,0.7624,7.23,109.901303,110.428352,110.002478,108.893387,83.827538,53.533352,67.807556,37.148182,63.240631,68.828102,58.004089,0.133,0.553
94,9.4848,0.7627,7.23,109.901303,110.529453,110.002478,108.792114,83.753471,53.546268,67.820183,37.121727,63.227711,68.840729,58.004089,0.132,0.553
95,9.4848,0.7624,7.23,109.901303,110.529453,110.103653,108.589569,83.765816,53.546268,67.845436,37.121727,63.188953,68.815475,57.91375,0.133,0.553
96,9.4848,0.7627,7.23,109.901303,110.428352,110.103653,108.387024,83.839882,53.546268,67.78231,37.095272,63.21479,68.790222,57.978344,0.132,0.553
97,1.7604,0.8613,1.52,110.103653,110.731657,109.800128,108.589569,83.839882,53.559189,67.820183,37.134953,63.240631,68.802849,57.978344,0.1,0.411
98,1.7604,0.858,1.51,109.901303,110.832759,109.698953,108.893387,83.716431,53.533352,67.731804,37.095272,63.21479,68.790222,57.991264,0.084,0.35
99,1.7604,0.8571,1.51,110.204828,110.832759,109.395428,108.792114,83.753471,53.58503,67.618172,37.148182,63.188953,68.828102,57.965427,0.084,0.349
100,1.7628,0.8548,1.51,110.204828,110.731657,109.698953,108.994659,83.704086,53.533352,67.643425,37.095272,63.227711,68.752342,57.91375,0.084,0.349
101,1.7604,0.8558,1.51,110.204828,110.731657,109.800128,108.792114,83.741119,53.597946,67.567665,37.108501,63.266468,68.689217,57.874989,0.084,0.349
102,1.7604,0.8551,1.51,110.204828,110.529453,109.800128,108.589569,83.592979,53.58503,67.542419,37.082047,63.20187,68.701843,57.849152,0.084,0.349
103,1.7604,0.8545,1.5,110.204828,110.832759,109.698953,108.792114,83.630013,53.533352,67.567665,37.121727,63.253551,68.67659,57.823311,0.084,0.349
