Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:30:14,0.027,Cell47
2022-10-10 12:31:41,0.015,Cell47
2022-10-10 12:59:03,0.863,Cell47
2022-10-10 13:00:20,0.791,Cell47
2022-10-10 13:00:28,0.739,Cell47
2022-10-10 13:00:29,0.736,Cell47
2022-10-10 13:01:11,0.283,Cell47
2022-10-10 13:01:15,0.249,Cell47
2022-10-10 13:01:39,0.118,Cell47
2022-10-10 13:01:40,0.118,Cell47
2022-10-10 13:01:44,0.105,Cell47
2022-10-10 13:02:24,0.033,Cell47
2022-10-10 13:02:31,0.029,Cell47
2022-10-10 13:02:40,0.026,Cell47
2022-10-10 13:03:00,0.022,Cell47
2022-10-10 13:16:14,0.066,Cell47
2022-10-10 13:16:53,0.048,Cell47
2022-10-10 13:17:02,0.044,Cell47
2022-10-10 13:17:25,0.033,Cell47
2022-10-10 13:17:37,0.929,Cell47
2022-10-10 13:34:36,0.058,Cell47
2022-10-10 13:35:12,0.027,Cell47
2022-10-10 13:35:28,0.022,Cell47
2022-10-10 13:37:30,0.011,Cell47
2022-10-10 13:37:37,0.011,Cell47
2022-10-10 13:48:26,0.073,Cell47
2022-10-10 14:44:22,0.939,Cell47
