Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:31:02,0.017,Cell25
2022-10-10 12:31:02,0.017,Cell25
2022-10-10 12:31:21,0.016,Cell25
2022-10-10 12:32:32,0.012,Cell25
2022-10-10 12:43:02,0.078,Cell25
2022-10-10 12:43:18,0.074,Cell25
2022-10-10 12:43:22,0.073,Cell25
2022-10-10 12:44:39,0.041,Cell25
2022-10-10 13:03:46,0.016,Cell25
2022-10-10 13:04:22,0.013,Cell25
2022-10-10 13:35:48,0.019,Cell25
2022-10-10 13:36:06,0.017,Cell25
2022-10-10 13:37:16,0.012,Cell25
2022-10-10 13:38:19,0.009,Cell25
2022-10-10 13:39:08,0.007,Cell25
2022-10-10 13:47:58,0.003,Cell25
2022-10-10 13:48:14,0.073,Cell25
2022-10-10 13:50:15,0.904,Cell25
2022-10-10 14:06:27,0.944,Cell25
2022-10-10 14:42:28,0.787,Cell25
