Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:31:11,0.017,Cell30
2022-10-10 12:32:27,0.012,Cell30
2022-10-10 12:42:05,0.003,Cell30
2022-10-10 12:44:46,0.038,Cell30
2022-10-10 13:03:22,0.019,Cell30
2022-10-10 13:35:52,0.018,Cell30
2022-10-10 13:36:31,0.015,Cell30
2022-10-10 13:37:40,0.011,Cell30
2022-10-10 13:37:41,0.011,Cell30
2022-10-10 13:37:42,0.011,Cell30
2022-10-10 13:37:43,0.011,Cell30
2022-10-10 13:38:39,0.009,Cell30
2022-10-10 13:38:59,0.008,Cell30
2022-10-10 14:03:19,0.675,Cell30
2022-10-10 14:05:15,0.935,Cell30
