Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 13:03:47,0.016,Cell48
2022-10-10 13:04:40,0.012,Cell48
2022-10-10 13:17:03,0.044,Cell48
2022-10-10 13:17:05,0.041,Cell48
2022-10-10 13:48:25,0.074,Cell48
2022-10-10 13:49:06,0.061,Cell48
2022-10-10 13:49:08,0.061,Cell48
2022-10-10 13:50:05,0.033,Cell48
2022-10-10 14:16:18,0.726,Cell48
2022-10-10 14:16:20,0.726,Cell48
2022-10-10 14:16:23,0.724,Cell48
2022-10-10 14:16:23,0.723,Cell48
2022-10-10 14:16:24,0.724,Cell48
2022-10-10 14:16:29,0.723,Cell48
2022-10-10 14:16:44,0.722,Cell48
