Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:20:46,0.006,Cell6
2022-10-10 12:27:22,0.773,Cell6
2022-10-10 12:27:23,0.783,Cell6
2022-10-10 12:27:24,0.812,Cell6
2022-10-10 12:27:49,0.706,Cell6
2022-10-10 12:27:51,0.697,Cell6
2022-10-10 12:28:10,0.628,Cell6
2022-10-10 12:28:16,0.593,Cell6
2022-10-10 12:29:05,0.152,Cell6
2022-10-10 12:29:06,0.148,Cell6
2022-10-10 12:29:07,0.143,Cell6
2022-10-10 12:29:08,0.141,Cell6
2022-10-10 12:29:43,0.048,Cell6
2022-10-10 12:29:47,0.043,Cell6
2022-10-10 12:29:48,0.042,Cell6
2022-10-10 12:29:54,0.037,Cell6
2022-10-10 12:30:28,0.023,Cell6
2022-10-10 12:30:39,0.022,Cell6
2022-10-10 12:31:49,0.014,Cell6
2022-10-10 12:42:54,0.079,Cell6
2022-10-10 12:43:08,0.078,Cell6
2022-10-10 12:44:31,0.046,Cell6
2022-10-10 12:59:16,0.842,Cell6
2022-10-10 12:59:17,0.842,Cell6
2022-10-10 13:00:03,0.792,Cell6
2022-10-10 13:00:07,0.83,Cell6
2022-10-10 13:00:12,0.82,Cell6
2022-10-10 13:00:24,0.77,Cell6
2022-10-10 13:02:38,0.027,Cell6
2022-10-10 13:02:52,0.024,Cell6
2022-10-10 13:03:02,0.021,Cell6
2022-10-10 13:03:26,0.017,Cell6
2022-10-10 13:03:34,0.017,Cell6
2022-10-10 13:03:44,0.016,Cell6
2022-10-10 13:03:45,0.016,Cell6
2022-10-10 13:03:56,0.014,Cell6
2022-10-10 13:04:26,0.013,Cell6
2022-10-10 13:04:37,0.013,Cell6
2022-10-10 13:15:17,0.003,Cell6
2022-10-10 13:15:33,0.073,Cell6
2022-10-10 13:16:02,0.069,Cell6
2022-10-10 13:16:09,0.068,Cell6
2022-10-10 13:16:24,0.062,Cell6
2022-10-10 13:16:41,0.054,Cell6
2022-10-10 13:17:18,0.035,Cell6
2022-10-10 13:31:45,0.853,Cell6
2022-10-10 13:32:28,0.803,Cell6
2022-10-10 13:32:29,0.801,Cell6
2022-10-10 13:32:32,0.798,Cell6
2022-10-10 13:32:34,0.796,Cell6
2022-10-10 13:32:36,0.795,Cell6
2022-10-10 13:32:37,0.794,Cell6
2022-10-10 13:32:47,0.833,Cell6
2022-10-10 13:32:49,0.831,Cell6
2022-10-10 13:32:59,0.795,Cell6
2022-10-10 13:34:16,0.117,Cell6
2022-10-10 13:34:20,0.103,Cell6
2022-10-10 13:34:21,0.103,Cell6
2022-10-10 13:35:03,0.031,Cell6
2022-10-10 13:35:15,0.026,Cell6
2022-10-10 13:35:22,0.024,Cell6
2022-10-10 13:35:40,0.021,Cell6
2022-10-10 13:35:41,0.021,Cell6
2022-10-10 13:35:50,0.019,Cell6
2022-10-10 13:35:51,0.018,Cell6
2022-10-10 13:36:04,0.017,Cell6
2022-10-10 13:36:07,0.016,Cell6
2022-10-10 13:36:26,0.015,Cell6
2022-10-10 13:36:27,0.015,Cell6
2022-10-10 13:38:18,0.01,Cell6
2022-10-10 13:38:49,0.009,Cell6
2022-10-10 13:48:18,0.075,Cell6
2022-10-10 13:48:33,0.07,Cell6
2022-10-10 13:48:34,0.07,Cell6
2022-10-10 13:48:47,0.068,Cell6
2022-10-10 13:49:19,0.057,Cell6
2022-10-10 13:49:25,0.054,Cell6
2022-10-10 13:49:39,0.047,Cell6
2022-10-10 13:49:39,0.047,Cell6
2022-10-10 13:50:00,0.036,Cell6
2022-10-10 13:50:57,0.961,Cell6
2022-10-10 13:55:58,0.59,Cell6
2022-10-10 13:56:05,0.59,Cell6
2022-10-10 14:06:11,0.928,Cell6
2022-10-10 14:12:15,0.737,Cell6
2022-10-10 14:18:46,0.743,Cell6
2022-10-10 14:18:50,0.739,Cell6
2022-10-10 14:18:55,0.736,Cell6
2022-10-10 14:19:01,0.731,Cell6
2022-10-10 14:19:02,0.729,Cell6
2022-10-10 14:35:16,0.615,Cell6
2022-10-10 14:43:01,0.792,Cell6
2022-10-10 14:44:48,0.921,Cell6
