Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:44:49,0.064,Cell93
2022-10-10 13:50:07,0.033,Cell93
2022-10-10 13:56:12,0.588,Cell93
2022-10-10 13:56:14,0.589,Cell93
2022-10-10 13:56:15,0.589,Cell93
2022-10-10 13:56:18,0.588,Cell93
2022-10-10 13:56:19,0.59,Cell93
2022-10-10 13:56:29,0.588,Cell93
2022-10-10 13:57:02,0.589,Cell93
2022-10-10 13:57:09,0.589,Cell93
2022-10-10 13:57:10,0.589,Cell93
2022-10-10 13:57:11,0.588,Cell93
2022-10-10 13:57:12,0.588,Cell93
2022-10-10 13:57:14,0.587,Cell93
2022-10-10 13:57:15,0.587,Cell93
2022-10-10 13:58:00,0.588,Cell93
2022-10-10 13:58:04,0.576,Cell93
2022-10-10 13:58:05,0.575,Cell93
2022-10-10 13:58:06,0.569,Cell93
2022-10-10 13:58:13,0.558,Cell93
2022-10-10 13:59:19,0.51,Cell93
2022-10-10 14:07:51,0.718,Cell93
2022-10-10 14:07:53,0.716,Cell93
2022-10-10 14:17:08,0.745,Cell93
2022-10-10 14:17:10,0.745,Cell93
2022-10-10 14:17:16,0.744,Cell93
2022-10-10 14:17:17,0.743,Cell93
2022-10-10 14:17:18,0.743,Cell93
2022-10-10 14:17:19,0.743,Cell93
2022-10-10 14:17:20,0.742,Cell93
2022-10-10 14:17:21,0.742,Cell93
2022-10-10 14:17:23,0.744,Cell93
2022-10-10 14:17:23,0.744,Cell93
2022-10-10 14:17:24,0.743,Cell93
2022-10-10 14:17:25,0.743,Cell93
2022-10-10 14:17:26,0.742,Cell93
2022-10-10 14:17:28,0.742,Cell93
2022-10-10 14:17:29,0.743,Cell93
2022-10-10 14:17:34,0.74,Cell93
2022-10-10 14:17:35,0.74,Cell93
2022-10-10 14:17:37,0.743,Cell93
2022-10-10 14:17:37,0.742,Cell93
2022-10-10 14:17:38,0.742,Cell93
2022-10-10 14:17:39,0.74,Cell93
2022-10-10 14:17:40,0.741,Cell93
2022-10-10 14:17:41,0.739,Cell93
2022-10-10 14:17:42,0.739,Cell93
2022-10-10 14:17:43,0.74,Cell93
2022-10-10 14:17:44,0.74,Cell93
2022-10-10 14:17:45,0.739,Cell93
2022-10-10 14:17:46,0.74,Cell93
2022-10-10 14:17:48,0.74,Cell93
2022-10-10 14:17:49,0.74,Cell93
2022-10-10 14:17:50,0.74,Cell93
2022-10-10 14:17:51,0.737,Cell93
2022-10-10 14:17:52,0.737,Cell93
2022-10-10 14:17:53,0.739,Cell93
2022-10-10 14:17:54,0.741,Cell93
2022-10-10 14:17:55,0.738,Cell93
2022-10-10 14:17:56,0.739,Cell93
2022-10-10 14:17:57,0.74,Cell93
2022-10-10 14:17:58,0.74,Cell93
2022-10-10 14:17:59,0.741,Cell93
2022-10-10 14:18:00,0.739,Cell93
2022-10-10 14:18:01,0.737,Cell93
2022-10-10 14:18:02,0.737,Cell93
2022-10-10 14:18:04,0.741,Cell93
2022-10-10 14:18:05,0.739,Cell93
2022-10-10 14:18:06,0.737,Cell93
2022-10-10 14:18:07,0.737,Cell93
2022-10-10 14:18:11,0.739,Cell93
2022-10-10 14:18:13,0.74,Cell93
2022-10-10 14:18:16,0.739,Cell93
2022-10-10 14:18:17,0.739,Cell93
2022-10-10 14:18:18,0.739,Cell93
2022-10-10 14:18:21,0.739,Cell93
2022-10-10 14:18:23,0.739,Cell93
2022-10-10 14:18:24,0.738,Cell93
2022-10-10 14:18:28,0.738,Cell93
2022-10-10 14:18:29,0.738,Cell93
2022-10-10 14:18:31,0.738,Cell93
2022-10-10 14:18:32,0.738,Cell93
2022-10-10 14:18:33,0.737,Cell93
2022-10-10 14:18:34,0.737,Cell93
2022-10-10 14:18:35,0.737,Cell93
2022-10-10 14:18:36,0.739,Cell93
2022-10-10 14:18:37,0.739,Cell93
2022-10-10 14:19:31,0.706,Cell93
2022-10-10 14:19:35,0.706,Cell93
2022-10-10 14:19:36,0.703,Cell93
2022-10-10 14:19:37,0.703,Cell93
2022-10-10 14:19:38,0.702,Cell93
2022-10-10 14:19:39,0.704,Cell93
2022-10-10 14:19:40,0.703,Cell93
2022-10-10 14:19:41,0.704,Cell93
2022-10-10 14:19:43,0.704,Cell93
2022-10-10 14:19:44,0.704,Cell93
2022-10-10 14:19:46,0.703,Cell93
2022-10-10 14:19:47,0.703,Cell93
2022-10-10 14:19:48,0.703,Cell93
2022-10-10 14:19:58,0.703,Cell93
2022-10-10 14:20:00,0.702,Cell93
2022-10-10 14:20:04,0.703,Cell93
