Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:31:40,0.015,Cell9
2022-10-10 12:32:13,0.013,Cell9
2022-10-10 12:33:11,0.01,Cell9
2022-10-10 12:33:21,0.009,Cell9
2022-10-10 12:42:41,0.003,Cell9
2022-10-10 12:42:50,0.076,Cell9
2022-10-10 12:43:52,0.063,Cell9
2022-10-10 13:15:20,0.003,Cell9
2022-10-10 13:15:40,0.076,Cell9
2022-10-10 13:15:49,0.075,Cell9
2022-10-10 13:16:43,0.053,Cell9
2022-10-10 13:18:51,0.827,Cell9
2022-10-10 13:19:23,0.786,Cell9
2022-10-10 13:19:42,0.785,Cell9
2022-10-10 13:20:28,0.767,Cell9
2022-10-10 13:20:29,0.767,Cell9
2022-10-10 13:20:33,0.764,Cell9
2022-10-10 13:20:38,0.759,Cell9
2022-10-10 13:20:50,0.747,Cell9
2022-10-10 13:20:55,0.742,Cell9
2022-10-10 13:25:24,0.576,Cell9
2022-10-10 13:25:45,0.515,Cell9
2022-10-10 13:25:46,0.516,Cell9
2022-10-10 13:25:49,0.505,Cell9
2022-10-10 13:26:06,0.494,Cell9
2022-10-10 13:29:59,0.494,Cell9
2022-10-10 13:37:33,0.012,Cell9
2022-10-10 13:37:54,0.01,Cell9
2022-10-10 13:38:27,0.009,Cell9
2022-10-10 13:38:44,0.009,Cell9
2022-10-10 13:48:30,0.073,Cell9
2022-10-10 13:48:46,0.068,Cell9
2022-10-10 13:49:59,0.037,Cell9
2022-10-10 13:51:13,0.835,Cell9
2022-10-10 13:51:45,0.832,Cell9
2022-10-10 13:52:46,0.792,Cell9
2022-10-10 13:53:02,0.783,Cell9
2022-10-10 13:53:06,0.778,Cell9
2022-10-10 13:53:54,0.739,Cell9
2022-10-10 13:54:14,0.72,Cell9
2022-10-10 13:54:18,0.717,Cell9
2022-10-10 13:54:34,0.695,Cell9
2022-10-10 13:55:42,0.591,Cell9
2022-10-10 13:55:48,0.59,Cell9
2022-10-10 13:56:21,0.588,Cell9
2022-10-10 13:56:43,0.588,Cell9
2022-10-10 13:56:58,0.59,Cell9
2022-10-10 13:57:04,0.588,Cell9
2022-10-10 13:57:37,0.589,Cell9
2022-10-10 13:57:39,0.589,Cell9
2022-10-10 13:58:10,0.568,Cell9
2022-10-10 13:58:16,0.543,Cell9
2022-10-10 13:58:18,0.543,Cell9
2022-10-10 13:58:20,0.538,Cell9
2022-10-10 13:58:21,0.538,Cell9
2022-10-10 13:58:22,0.527,Cell9
2022-10-10 13:59:54,0.512,Cell9
2022-10-10 13:59:55,0.512,Cell9
2022-10-10 14:00:04,0.51,Cell9
2022-10-10 14:00:05,0.511,Cell9
2022-10-10 14:00:09,0.51,Cell9
2022-10-10 14:00:10,0.509,Cell9
2022-10-10 14:00:11,0.509,Cell9
2022-10-10 14:00:28,0.509,Cell9
2022-10-10 14:00:35,0.509,Cell9
2022-10-10 14:00:37,0.509,Cell9
2022-10-10 14:00:40,0.51,Cell9
2022-10-10 14:00:55,0.51,Cell9
2022-10-10 14:01:10,0.51,Cell9
2022-10-10 14:01:20,0.509,Cell9
2022-10-10 14:01:24,0.51,Cell9
2022-10-10 14:01:27,0.51,Cell9
2022-10-10 14:01:38,0.51,Cell9
2022-10-10 14:01:41,0.508,Cell9
2022-10-10 14:01:48,0.51,Cell9
2022-10-10 14:01:49,0.51,Cell9
2022-10-10 14:01:51,0.51,Cell9
2022-10-10 14:01:52,0.51,Cell9
2022-10-10 14:01:54,0.51,Cell9
2022-10-10 14:02:04,0.509,Cell9
2022-10-10 14:02:06,0.509,Cell9
2022-10-10 14:02:07,0.51,Cell9
2022-10-10 14:02:09,0.51,Cell9
2022-10-10 14:02:11,0.509,Cell9
2022-10-10 14:02:14,0.508,Cell9
2022-10-10 14:02:15,0.509,Cell9
2022-10-10 14:02:25,0.509,Cell9
2022-10-10 14:02:29,0.508,Cell9
2022-10-10 14:02:35,0.509,Cell9
2022-10-10 14:02:37,0.508,Cell9
2022-10-10 14:02:49,0.509,Cell9
2022-10-10 14:02:50,0.509,Cell9
2022-10-10 14:03:00,0.507,Cell9
2022-10-10 14:03:03,0.509,Cell9
2022-10-10 14:03:08,0.509,Cell9
2022-10-10 14:03:10,0.552,Cell9
2022-10-10 14:03:12,0.585,Cell9
2022-10-10 14:03:14,0.609,Cell9
2022-10-10 14:03:25,0.728,Cell9
2022-10-10 14:03:26,0.729,Cell9
2022-10-10 14:03:27,0.729,Cell9
2022-10-10 14:03:32,0.725,Cell9
2022-10-10 14:03:33,0.724,Cell9
2022-10-10 14:03:38,0.725,Cell9
2022-10-10 14:03:42,0.725,Cell9
2022-10-10 14:03:43,0.725,Cell9
2022-10-10 14:03:44,0.725,Cell9
2022-10-10 14:03:47,0.725,Cell9
2022-10-10 14:03:49,0.724,Cell9
2022-10-10 14:03:50,0.723,Cell9
2022-10-10 14:03:55,0.724,Cell9
2022-10-10 14:03:56,0.724,Cell9
2022-10-10 14:03:57,0.722,Cell9
2022-10-10 14:03:59,0.724,Cell9
2022-10-10 14:03:59,0.724,Cell9
2022-10-10 14:04:03,0.723,Cell9
2022-10-10 14:04:04,0.723,Cell9
2022-10-10 14:04:05,0.723,Cell9
2022-10-10 14:04:13,0.722,Cell9
2022-10-10 14:04:14,0.722,Cell9
2022-10-10 14:04:35,0.722,Cell9
2022-10-10 14:04:45,0.722,Cell9
2022-10-10 14:04:46,0.72,Cell9
