Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:30:47,0.02,Cell26
2022-10-10 12:32:06,0.012,Cell26
2022-10-10 12:33:18,0.009,Cell26
2022-10-10 12:42:58,0.079,Cell26
2022-10-10 12:43:07,0.076,Cell26
2022-10-10 12:43:19,0.074,Cell26
2022-10-10 12:43:43,0.065,Cell26
2022-10-10 12:44:16,0.052,Cell26
2022-10-10 12:44:32,0.044,Cell26
2022-10-10 12:45:16,0.958,Cell26
2022-10-10 12:45:26,0.958,Cell26
2022-10-10 13:16:58,0.046,Cell26
2022-10-10 13:36:13,0.016,Cell26
2022-10-10 13:37:38,0.011,Cell26
2022-10-10 13:38:32,0.009,Cell26
2022-10-10 13:38:47,0.009,Cell26
2022-10-10 13:50:21,0.946,Cell26
2022-10-10 13:50:24,0.953,Cell26
2022-10-10 14:05:19,0.953,Cell26
2022-10-10 14:05:26,0.958,Cell26
2022-10-10 14:05:30,0.958,Cell26
2022-10-10 14:40:22,0.957,Cell26
2022-10-10 14:42:01,0.942,Cell26
2022-10-10 14:43:33,0.953,Cell26
2022-10-10 14:43:38,0.962,Cell26
