Date_Time,Cell12,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:30:37,0.021,0.021,Cell12
2022-10-10 12:30:40,0.021,0.021,Cell12
2022-10-10 12:30:56,0.018,0.018,Cell12
2022-10-10 12:43:21,0.074,0.074,Cell12
2022-10-10 12:43:25,0.07,0.07,Cell12
2022-10-10 12:43:28,0.07,0.07,Cell12
2022-10-10 12:43:29,0.071,0.071,Cell12
2022-10-10 12:43:53,0.062,0.062,Cell12
2022-10-10 12:44:04,0.057,0.057,Cell12
2022-10-10 13:03:39,0.017,0.017,Cell12
2022-10-10 13:03:40,0.017,0.017,Cell12
2022-10-10 13:04:10,0.013,0.013,Cell12
2022-10-10 13:05:36,0.01,0.01,Cell12
2022-10-10 13:15:52,0.073,0.073,Cell12
2022-10-10 13:17:19,0.034,0.034,Cell12
2022-10-10 13:36:22,0.016,0.016,Cell12
2022-10-10 13:36:38,0.014,0.014,Cell12
2022-10-10 13:36:42,0.014,0.014,Cell12
2022-10-10 13:36:43,0.014,0.014,Cell12
2022-10-10 13:36:46,0.012,0.012,Cell12
2022-10-10 13:37:53,0.01,0.01,Cell12
2022-10-10 13:48:56,0.065,0.065,Cell12
2022-10-10 13:49:34,0.049,0.049,Cell12
2022-10-10 14:05:14,0.922,0.922,Cell12
