Date_Time,Min_Cell_Voltage,Min_Cell_Index
2022-10-10 12:20:48,0.078,Cell1
2022-10-10 12:20:49,0.5,Cell1
2022-10-10 12:20:50,0.5,Cell1
2022-10-10 12:21:01,0.769,Cell1
2022-10-10 12:21:02,0.761,Cell1
2022-10-10 12:29:56,0.036,Cell1
2022-10-10 12:30:07,0.031,Cell1
2022-10-10 12:30:10,0.029,Cell1
2022-10-10 12:30:12,0.028,Cell1
2022-10-10 12:30:17,0.026,Cell1
2022-10-10 12:30:19,0.026,Cell1
2022-10-10 12:30:37,0.023,Cell1
2022-10-10 12:30:44,0.021,Cell1
2022-10-10 12:30:50,0.021,Cell1
2022-10-10 12:30:54,0.02,Cell1
2022-10-10 12:30:58,0.018,Cell1
2022-10-10 12:31:17,0.017,Cell1
2022-10-10 12:31:23,0.017,Cell1
2022-10-10 12:31:31,0.016,Cell1
2022-10-10 12:31:39,0.015,Cell1
2022-10-10 12:31:42,0.015,Cell1
2022-10-10 12:31:50,0.015,Cell1
2022-10-10 12:31:53,0.014,Cell1
2022-10-10 12:32:09,0.012,Cell1
2022-10-10 12:32:17,0.013,Cell1
2022-10-10 12:32:34,0.012,Cell1
2022-10-10 12:34:00,0.009,Cell1
2022-10-10 12:34:09,0.009,Cell1
2022-10-10 12:34:10,0.009,Cell1
2022-10-10 12:36:41,0.006,Cell1
2022-10-10 12:39:29,0.004,Cell1
2022-10-10 12:39:30,0.004,Cell1
2022-10-10 12:42:47,0.06,Cell1
2022-10-10 12:44:20,0.051,Cell1
2022-10-10 12:44:50,0.134,Cell1
2022-10-10 12:44:51,0.263,Cell1
2022-10-10 12:44:54,0.902,Cell1
2022-10-10 12:44:57,0.932,Cell1
2022-10-10 12:44:58,0.935,Cell1
2022-10-10 12:45:02,0.944,Cell1
2022-10-10 12:45:06,0.951,Cell1
2022-10-10 12:45:07,0.951,Cell1
2022-10-10 12:45:08,0.954,Cell1
2022-10-10 12:45:14,0.957,Cell1
2022-10-10 12:45:15,0.957,Cell1
2022-10-10 12:45:20,0.957,Cell1
2022-10-10 12:45:21,0.958,Cell1
2022-10-10 12:45:23,0.959,Cell1
2022-10-10 12:45:24,0.96,Cell1
2022-10-10 12:45:25,0.957,Cell1
2022-10-10 12:45:27,0.958,Cell1
2022-10-10 12:45:29,0.958,Cell1
2022-10-10 12:45:30,0.958,Cell1
2022-10-10 12:45:32,0.957,Cell1
